Date,Close,Change,Pct_Change,Volume,Org_Volume,Foreign_Volume,Foreign_Count,Foreign_Pct
2020-08-19,164000,3500,2.18,813043,55987,-24995,22325730,24.14
2020-08-18,160500,11500,-6.69,1703952,-42324,10852,22350725,24.17
2020-08-17,160500,11500,-6.69,1703952,-42324,10852,22350725,24.17
2020-08-16,160500,11500,-6.69,1703952,-42324,10852,22350725,24.17
2020-08-15,160500,11500,-6.69,1703952,-42324,10852,22350725,24.17
2020-08-14,172000,10000,-5.49,1615501,-250971,36803,22339576,24.16
2020-08-13,182000,500,-0.27,945867,40746,-20077,22301981,24.12
2020-08-12,182500,4500,-2.41,1129184,-671,25353,22289063,24.11
2020-08-11,187000,1000,0.54,1616822,-51859,12109,22263710,24.08
2020-08-10,186000,2000,1.09,3464467,-109960,-89376,22251502,24.06
2020-08-09,186000,2000,1.09,3464467,-109960,-89376,22251502,24.06
2020-08-08,186000,2000,1.09,3464467,-109960,-89376,22251502,24.06
2020-08-07,184000,20500,12.54,6000468,-112377,43102,22337710,24.16
2020-08-06,163500,4500,2.83,4118060,122240,-139502,22293836,24.11
2020-08-05,159000,27000,20.45,6130458,253687,252570,22430972,24.26
2020-08-04,132000,2500,1.93,561897,53881,-19746,22175234,23.98
2020-08-03,129500,2500,1.97,741714,10244,-62187,22194188,24.00
2020-08-02,129500,2500,1.97,741714,10244,-62187,22194188,24.00
2020-08-01,129500,2500,1.97,741714,10244,-62187,22194188,24.00
2020-07-31,127000,500,-0.39,656169,-104020,-35117,22319380,24.14
2020-07-30,127500,3500,-2.67,667405,-223059,-41900,22353210,24.17
2020-07-29,131000,2000,-1.50,454575,6326,-24437,22395110,24.22
2020-07-28,133000,2000,1.53,560167,32818,113488,22296047,24.11
2020-07-27,131000,1000,-0.76,576088,70289,-66240,22182460,23.99
2020-07-26,131000,1000,-0.76,576088,70289,-66240,22182460,23.99
2020-07-25,131000,1000,-0.76,576088,70289,-66240,22182460,23.99
2020-07-24,132000,0,0.00,473822,72496,-28503,22248205,24.06
2020-07-23,132000,3000,-2.22,973075,-70296,-151422,22276411,24.09
2020-07-22,135000,10000,8.00,2025022,461414,203067,22430184,24.26
2020-07-21,125000,2500,2.04,453736,26341,1962,22227117,24.04
2020-07-20,122500,2000,-1.61,464665,-51093,-21792,22225056,24.04
2020-07-19,122500,2000,-1.61,464665,-51093,-21792,22225056,24.04
2020-07-18,122500,2000,-1.61,464665,-51093,-21792,22225056,24.04
2020-07-17,124500,0,0.00,295884,-48010,-17631,22246650,24.06
2020-07-16,124500,1000,0.81,452689,-32289,25573,22264281,24.08
2020-07-15,123500,4500,-3.52,931046,-161343,14323,22238510,24.05
2020-07-14,128000,3000,-2.29,515322,-112676,-14927,22223989,24.03
2020-07-13,131000,500,0.38,405075,23761,19608,22238619,24.05
2020-07-12,131000,500,0.38,405075,23761,19608,22238619,24.05
2020-07-11,131000,500,0.38,405075,23761,19608,22238619,24.05
2020-07-10,130500,4000,-2.97,688311,-82705,-144319,22202714,24.01
2020-07-09,134500,500,0.37,599886,69125,-29610,22347033,24.17
2020-07-08,134000,500,0.37,530374,17998,-17614,22376143,24.20
2020-07-07,133500,2000,-1.48,838422,-50006,-62075,22391272,24.22
2020-07-06,135500,3500,2.65,687777,-15682,30684,22453347,24.28
2020-07-05,135500,3500,2.65,687777,-15682,30684,22453347,24.28
